id_persona,PeID
02304-1-02,1274
02304-1-03,1275
02308-1-01,1276
02309-1-03,1277
02310-1-02,1278
02313-1-01,1279
02314-1-01,1280
02318-1-01,1281
02318-1-04,1282
02319-1-01,1283
02320-1-01,1284
02322-1-04,1285
02324-1-01,1286
02331-1-01,1287
02331-1-02,1288
02335-1-02,1289
02338-1-02,1290
02340-1-01,1291
02342-1-03,1292
02344-1-02,1293
02345-1-01,1294
02346-1-02,1295
02348-1-01,1296
02348-1-04,1297
02349-1-01,1298
02351-1-01,1299
02353-1-02,1300
02354-1-02,1301
02358-1-01,1302
02358-1-02,1303
02359-1-02,1304
02360-1-04,1305
02360-1-05,1306
02368-1-01,1307
02369-1-01,1308
02371-1-01,1309
02372-1-02,1310
02373-1-01,1311
02374-1-01,1312
02374-1-02,1313
02376-1-01,1314
02378-1-01,1315
02379-1-01,1316
02381-1-02,1317
02383-1-03,1318
02387-1-01,1319
02389-1-02,1320
02390-1-01,1321
02391-1-01,1322
02393-1-01,1323
02393-1-02,1324
02396-1-03,1325
02397-1-01,1326
02397-1-03,1327
02398-1-01,1328
02400-1-01,1329
02401-1-02,1330
02403-1-02,1331
02409-1-01,1332
02410-1-02,1333
02412-1-01,1334
02414-1-02,1335
02416-1-01,1336
02419-1-02,1337
02421-1-02,1338
02425-1-04,1339
02429-1-01,1340
02432-1-01,1341
02432-1-02,1342
02433-1-01,1343
02435-1-02,1344
02437-1-01,1345
02438-1-01,1346
02443-1-01,1347
02445-1-01,1348
02446-1-02,1349
02449-1-01,1350
02451-1-01,1351
02453-1-01,1352
02456-1-01,1353
02462-1-01,1354
02462-1-02,1355
02463-1-01,1356
02467-1-01,1357
02467-1-02,1358
02467-1-04,1359
02471-1-01,1360
02475-1-01,1361
02477-1-01,1362
02477-1-02,1363
02478-1-03,1364
02480-1-01,1365
02484-1-01,1366
02484-2-01,1367
02486-1-01,1368
02488-1-01,1369
02488-1-03,1370
02489-1-01,1371
02489-1-02,1372
02491-1-01,1373
02492-1-01,1374
02492-1-04,1375
02495-1-01,1376
02499-1-03,1377
02500-1-01,1378
02501-1-01,1379
02502-1-01,1380
02504-2-01,1381
02506-1-01,1382
02507-1-01,1383
02511-1-01,1384
02513-1-01,1385
02514-1-01,1386
02515-1-01,1387
02516-1-01,1388
02518-1-02,1389
02520-1-05,1390
02521-1-01,1391
02522-1-01,1392
02524-1-01,1393
02526-1-02,1394
02533-1-01,1395
02533-1-02,1396
02534-1-01,1397
02534-1-02,1398
02535-1-01,1399
02537-1-02,1400
02538-1-01,1401
02539-1-02,1402
02540-1-01,1403
02541-1-01,1404
02544-1-02,1405
02548-1-01,1406
02548-1-02,1407
02560-1-01,1408
02560-1-03,1409
02561-1-02,1410
02562-1-02,1411
02564-1-01,1412
02565-1-01,1413
02566-1-01,1414
02568-1-02,1415
02569-1-01,1416
02570-1-01,1417
02570-1-02,1418
02573-1-01,1419
02573-1-02,1420
02574-1-01,1421
02575-1-02,1422
02580-1-01,1423
02581-1-02,1424
02584-1-01,1425
02584-1-04,1426
02587-1-01,1427
02589-1-01,1428
02590-1-01,1429
02591-1-01,1430
02592-1-01,1431
02596-1-02,1432
02596-1-04,1433
02600-1-02,1434
02605-1-01,1435
02605-1-03,1436
02605-1-04,1437
02607-1-01,1438
02610-1-02,1439
02611-1-01,1440
02613-1-03,1441
02615-1-01,1442
02616-1-01,1443
02616-1-02,1444
02618-1-01,1445
