PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tf1,Tf2,w,ta,Ec_cuentas_num,Ec_hogar_num,Ec_salud_num,Ec_transporte_num,Ec_educacion_num,ing_jub_aps_num,ing_gpp_num,w_dc_num,t_domestic_work_num,t_care_work_num,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,Ec,Tc,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec,filtro_finite,filtro_trabajo_salario,filtro_tiempo,filtro_Ec,filtro_ingreso_potencial,filtro_mtuem_final
35,00056-1-02,45 a 59,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,55.45,41.05,10.88,3.894433,168,61.02,32.91,29.44,61.08,10.92,50,237.931034482759,3.139416,6.82,4.63,195.36999999999998,287.931034482759,-92.56103448275903,35.9463132,-56.61472128275903,60.62,168,51.93,272.561031132759,474.798936822759,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
36,00056-1-03,18 a 29,Hombres,Quintil alto,Sur,Jovenes trabajadores,Movilidad activa,47.11,55.48,8.64,0.133731,168,0,0,0,0,0,0,0,2.985806,2.11,0,0,0,0,6.30005066,6.30005066,56.769999999999996,168,64.12,1.67499999994547e-5,8.57484847,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37,00058-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,53.26,35.32,12.91,12.208294,168,116.69,38.88,34.95,83.95,29.08,0,0,3.052508,7.86,0.4,303.54999999999995,0,303.54999999999995,25.21371608,328.76371607999994,66.51000000000002,168,48.230000000000004,321.4500223600001,910.2560419799997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
38,00058-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,87.99,15.1,7.21,3.094177,168,0,0,0,0,0,0,0,3.094177,87.43,0.56,0,0,0,272.25663423000003,272.25663423000003,57.70000000000001,168,22.31,-5.684341886080802e-14,69.03108886999996,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39,00058-1-04,18 a 29,Mujeres,Quintil medio,Sur,Rutina flexible,Usuarios publicos,10.67,35.5,6.44,3.259843,168,0,0,0,0,0,0,0,3.259843,10.67,0,0,0,0,34.78252481,34.78252481,115.39000000000001,168,41.94,0,136.71781541999997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40,00059-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad activa,36.19,40.38,9.63,3.107775,168,0,0,0,0,0,0,0,3.107775,28.7,7.49,0,0,0,112.47037725,112.47037725,81.80000000000001,168,50.010000000000005,0,155.41982774999997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41,00061-1-03,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,34.01,33.42,5.82,2.968391,168,9.67,3.37,4.4,7.81,0.9,50,16.9491525423729,2.968391,34.01,0,26.149999999999995,66.9491525423729,-40.79915254237291,100.95497791,60.15582536762709,94.75,168,39.24,40.79915254237291,157.2788153823729,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
42,00062-1-02,60 o mas,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,55.41,30.7,11.59,13.487442,168,96.83,51.53,41.68,80.22,13.27,0,0,3.071978,15.41,0,283.53,0,283.53,47.33918098,330.86918097999995,70.3,168,42.29,416.46998024,986.8539024199999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
43,00065-1-01,30 a 44,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,76.25,31.1,6.21,3.273484,168,53,24.08,18.08,52.46,40.9,0,111.111111111111,3.052503,16.14,0.11,188.52,111.111111111111,77.40888888888901,49.60317375,127.012062638889,54.44,168,37.31,122.59109236111098,244.724780401111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
44,00065-1-02,18 a 29,Mujeres,Quintil alto,Sur,Jovenes trabajadores,Motorizados privados,49.76,62.22,8.02,5.385343,168,66.24,30.1,22.6,65.58,51.12,0,138.888888888889,3.120604,5.76,0,235.64,138.888888888889,96.75111111111099,17.97467904,114.72579015111098,48.000000000000014,168,70.24,153.248877528889,531.5153698488889,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
