id_persona,modulo,choice,T_modulo_sem,choice_interno_v10,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_45_64,edad_65mas,n_menores_18,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_2,quintil_3,quintil_4,quintil_5,ing_personal,PeID,WeID,avl_1,chc_1,wd_1,avl_2,chc_2,wd_2,avl_3,chc_3,wd_3,avl_4,chc_4,wd_4,avl_5,chc_5,wd_5,avl_6,chc_6,wd_6,avl_7,chc_7,wd_7,wc_1,Tw,Tf1,Tf2,Tc,w,Ec,ta,Ec_monetario,Ec_trabajo_no_remunerado,ingreso_libre_observado,ingreso_potencial_neto_Ec,wc_2
00058-1-03,TD,1,87.43,1,1,0,0,0,8.743,1,0,1,0,1,0,0,2,2,1,1,0,0,0,0,1,0,0,35,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,87.99,15.1,7.21,57.70000000000001,3.094177,272.25663423000003,168,0,272.25663423000003,-5.684341886080803e-14,69.03108886999996,1
00058-1-03,TC,1,0.56,1,0,1,0,0,0.05600000000000001,1,0,1,0,1,0,0,2,2,1,1,0,0,0,0,1,0,0,35,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,87.99,15.1,7.21,57.70000000000001,3.094177,272.25663423000003,168,0,272.25663423000003,-5.684341886080803e-14,69.03108886999996,1
00058-1-04,TD,2,10.67,2,1,0,0,0,1.067,1,0,1,1,0,0,0,2,2,0,0,1,0,0,0,1,0,0,36,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,10.67,35.5,6.44,115.39,3.259843,34.78252481,168,0,34.78252481,0,136.71781541999997,1
00058-1-04,ED,1,54.11,1,0,0,1,0,5.411,1,0,1,1,0,0,0,2,2,0,0,1,0,0,0,1,0,0,36,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,10.67,35.5,6.44,115.39,3.259843,34.78252481,168,0,34.78252481,0,136.71781541999997,1
00059-1-02,TC,5,7.49,5,0,1,0,0,0.749,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,37,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,36.19,40.38,9.63,81.80000000000001,3.107775,112.47037725,168,0,112.47037725,0,155.41982774999997,1
00061-1-03,TD,5,34.01,5,1,0,0,0,3.401,1,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,66.95,38,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,34.01,33.42,5.82,94.75,2.968391,60.15582536762709,168,26.149999999999995,100.95497791,40.79915254237291,157.2788153823729,1
00062-1-02,TO,1,40,1,0,0,0,0,4,1,0,1,0,0,1,0,3,3,0,0,0,1,0,0,0,1,700,39,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,55.41,30.7,11.59,70.3,13.487442,330.86918097999995,168,283.53,47.33918098,416.46998024,986.85390242,1
00062-1-02,TD,1,15.41,1,1,0,0,0,1.541,1,0,1,0,0,1,0,3,3,0,0,0,1,0,0,0,1,700,39,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,55.41,30.7,11.59,70.3,13.487442,330.86918097999995,168,283.53,47.33918098,416.46998024,986.85390242,1
00065-1-01,TO,1,60,1,0,0,0,0,6,1,0,1,0,0,0,1,2,2,0,0,1,0,0,0,0,1,311.11,40,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,76.25,31.1,6.21,54.44,3.273484,127.012062638889,168,188.52,49.60317375,122.59109236111098,244.724780401111,1
00065-1-01,TC,1,0.11,1,0,1,0,0,0.011,1,0,1,0,0,0,1,2,2,0,0,1,0,0,0,0,1,311.11,40,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,76.25,31.1,6.21,54.44,3.273484,127.012062638889,168,188.52,49.60317375,122.59109236111098,244.724780401111,1
00065-1-02,TO,1,44,1,0,0,0,0,4.4,1,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0,1,388.89,41,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,49.76,62.22,8.02,48.000000000000014,5.385343,114.72579015111098,168,235.64,17.97467904,153.248877528889,531.5153698488889,1
00067-1-01,TO,2,45,2,0,0,0,0,4.5,1,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,125,42,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,71.07,36.76,11.95,48.22000000000001,2.852962,200.91997966,168,123.16,77.75997966,1.8400296799999865,140.80780869999998,1
00067-1-01,TD,5,26.07,5,1,0,0,0,2.607,1,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,125,42,2,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,71.07,36.76,11.95,48.22000000000001,2.852962,200.91997966,168,123.16,77.75997966,1.8400296799999865,140.80780869999998,1
00069-1-01,TO,1,60,1,0,0,0,0,6,0,1,0,0,0,1,0,2,2,1,0,0,1,0,0,0,1,2500,43,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,62.58,35.37,6.87,63.180000000000014,40.077886,731.2840738799999,168,723.2099999999999,8.07407388,1776.790032,3469.6799366399996,1
